outcome_id,student_id,internship_id,application_status,application_date,selection_date,interview_rounds,final_decision,feedback_score,rejection_reason,success
OUT_000145,STU_01179,INT_00176,rejected,2025-09-23 02:45:51.031715,2025-10-05 02:45:51.031715,1,rejected,2.7,academic performance,0
OUT_000146,STU_02883,INT_00025,rejected,2025-09-23 02:45:16.147931,2025-09-26 02:45:16.147931,1,rejected,3.7,position filled,0
OUT_000147,STU_03186,INT_00848,rejected,2025-09-23 02:45:07.134669,2025-10-01 02:45:07.134669,0,rejected,3.6,timing issues,0
OUT_000148,STU_03856,INT_00189,rejected,2025-09-23 02:50:11.915831,2025-10-19 02:50:11.915831,1,rejected,2.7,academic performance,0
OUT_000149,STU_02932,INT_00007,rejected,2025-09-23 02:45:29.032404,2025-10-18 02:45:29.032404,0,rejected,2.8,timing issues,0
OUT_000150,STU_01808,INT_00829,rejected,2025-09-23 02:45:53.350405,2025-10-17 02:45:53.350405,1,rejected,2.8,academic performance,0
OUT_000151,STU_04373,INT_00465,rejected,2025-09-23 02:47:20.027728,2025-10-08 02:47:20.027728,0,rejected,3.5,technical skills gap,0
OUT_000152,STU_03225,INT_00836,rejected,2025-09-23 02:49:37.134426,2025-10-21 02:49:37.134426,2,rejected,2.2,cultural fit,0
OUT_000153,STU_02839,INT_00816,rejected,2025-09-23 02:47:59.758625,2025-10-02 02:47:59.758625,0,rejected,2.9,skills mismatch,0
OUT_000154,STU_01625,INT_00889,rejected,2025-09-23 02:49:20.410978,2025-10-01 02:49:20.410978,0,rejected,3.4,interview performance,0
OUT_000155,STU_04386,INT_00608,rejected,2025-09-23 02:48:27.578376,2025-09-27 02:48:27.578376,0,rejected,2.3,insufficient experience,0
OUT_000156,STU_03315,INT_00095,rejected,2025-09-23 02:49:28.268436,2025-10-22 02:49:28.268436,1,rejected,2.8,academic performance,0
OUT_000157,STU_02635,INT_00004,rejected,2025-09-23 02:50:36.174309,2025-10-01 02:50:36.174309,1,rejected,3.2,technical skills gap,0
OUT_000158,STU_04265,INT_00596,rejected,2025-09-23 02:49:16.420738,2025-10-18 02:49:16.420738,0,rejected,3.5,cultural fit,0
OUT_000159,STU_04797,INT_00994,rejected,2025-09-23 02:48:11.663632,2025-10-15 02:48:11.663632,0,rejected,2.1,skills mismatch,0
OUT_000160,STU_03381,INT_00047,rejected,2025-09-23 02:50:13.023868,2025-10-18 02:50:13.023868,2,rejected,3.8,interview performance,0
OUT_000161,STU_03796,INT_00808,rejected,2025-09-23 02:47:58.015770,2025-09-27 02:47:58.015770,2,rejected,3.9,position filled,0
OUT_000162,STU_04915,INT_00157,rejected,2025-09-23 02:46:09.873041,2025-10-19 02:46:09.873041,0,rejected,3.4,budget constraints,0
OUT_000163,STU_02507,INT_00532,rejected,2025-09-23 02:48:03.221186,2025-10-19 02:48:03.221186,2,rejected,4.0,interview performance,0
OUT_000164,STU_03763,INT_00369,rejected,2025-09-23 02:45:52.475951,2025-10-05 02:45:52.475951,1,rejected,3.3,interview performance,0
OUT_000165,STU_00733,INT_00158,rejected,2025-09-23 02:48:39.116666,2025-10-15 02:48:39.116666,2,rejected,2.9,skills mismatch,0
OUT_000166,STU_04745,INT_00203,rejected,2025-09-23 02:45:45.724021,2025-10-08 02:45:45.724021,2,rejected,3.7,budget constraints,0
OUT_000167,STU_01811,INT_00474,rejected,2025-09-23 02:50:15.421914,2025-10-08 02:50:15.421914,2,rejected,3.4,insufficient experience,0
OUT_000168,STU_03061,INT_00417,rejected,2025-09-23 02:48:29.215817,2025-10-10 02:48:29.215817,0,rejected,2.8,technical skills gap,0
OUT_000169,STU_02833,INT_00041,rejected,2025-09-23 02:44:57.466409,2025-09-29 02:44:57.466409,1,rejected,3.4,skills mismatch,0
OUT_000170,STU_02061,INT_00745,rejected,2025-09-23 02:46:21.786546,2025-10-07 02:46:21.786546,2,rejected,2.2,skills mismatch,0
OUT_000171,STU_04158,INT_00672,rejected,2025-09-23 02:47:51.111566,2025-10-16 02:47:51.111566,1,rejected,3.8,interview performance,0
OUT_000172,STU_02176,INT_00715,rejected,2025-09-23 02:48:36.151762,2025-10-21 02:48:36.151762,2,rejected,2.4,interview performance,0
OUT_000173,STU_00834,INT_00258,rejected,2025-09-23 02:49:44.598153,2025-10-14 02:49:44.598153,0,rejected,3.9,interview performance,0
OUT_000174,STU_01908,INT_00389,rejected,2025-09-23 02:47:38.087585,2025-09-30 02:47:38.087585,2,rejected,3.6,interview performance,0
OUT_000175,STU_02533,INT_00805,rejected,2025-09-23 02:47:48.796542,2025-10-20 02:47:48.796542,2,rejected,2.8,cultural fit,0
OUT_000176,STU_00870,INT_00826,rejected,2025-09-23 02:49:35.335742,2025-10-07 02:49:35.335742,2,rejected,3.3,budget constraints,0
OUT_000177,STU_02958,INT_00657,rejected,2025-09-23 02:45:07.904750,2025-10-05 02:45:07.904750,0,rejected,3.9,insufficient experience,0
OUT_000178,STU_02684,INT_00287,rejected,2025-09-23 02:50:29.791807,2025-10-18 02:50:29.791807,2,rejected,2.7,insufficient experience,0
OUT_000179,STU_04049,INT_00596,rejected,2025-09-23 02:46:37.280648,2025-09-30 02:46:37.280648,2,rejected,2.4,skills mismatch,0
OUT_000180,STU_04135,INT_00810,rejected,2025-09-23 02:46:15.031325,2025-10-16 02:46:15.031325,1,rejected,3.8,interview performance,0
OUT_000181,STU_00322,INT_00351,rejected,2025-09-23 02:46:23.339260,2025-10-14 02:46:23.339260,2,rejected,3.1,skills mismatch,0
OUT_000182,STU_03549,INT_00616,rejected,2025-09-23 02:50:28.683887,2025-09-30 02:50:28.683887,2,rejected,3.1,technical skills gap,0
OUT_000183,STU_02411,INT_00974,rejected,2025-09-23 02:45:15.923404,2025-10-20 02:45:15.923404,1,rejected,2.7,skills mismatch,0
OUT_000184,STU_04077,INT_00051,rejected,2025-09-23 02:50:20.656265,2025-10-22 02:50:20.656265,1,rejected,3.6,technical skills gap,0
OUT_000185,STU_03900,INT_00424,rejected,2025-09-23 02:46:08.650082,2025-10-19 02:46:08.650082,2,rejected,3.4,timing issues,0
OUT_000186,STU_03043,INT_00952,rejected,2025-09-23 02:47:00.055836,2025-10-07 02:47:00.055836,0,rejected,3.0,technical skills gap,0
OUT_000187,STU_04361,INT_00789,rejected,2025-09-23 02:49:59.856565,2025-10-20 02:49:59.856565,1,rejected,3.3,insufficient experience,0
OUT_000188,STU_04649,INT_00696,rejected,2025-09-23 02:49:34.448620,2025-10-02 02:49:34.448620,2,rejected,3.3,skills mismatch,0
OUT_000189,STU_02030,INT_00637,rejected,2025-09-23 02:46:36.554115,2025-10-16 02:46:36.554115,0,rejected,2.7,position filled,0
OUT_000190,STU_03831,INT_00354,rejected,2025-09-23 02:44:55.821092,2025-10-01 02:44:55.821092,1,rejected,2.9,skills mismatch,0
